Session,StartDate,EndDate,IPAddress,Progress,Duration(in seconds),Finished,RecordedDate,ResponseId,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,id,NegRate1.1_1_how_bad_the_study_partner_feels,NegRate1.3_1_significance_of_the_event_for_the_study_partner,mood1_1_angry,mood1_2_happy,mood1_3_anxious,mood1_4_distressed,mood1_5_cheerful,mood1_6_calm,mood1_7_sad,mood1_8_relaxed,mood1_9_lonely,mood1_10_energetic,reframe,NegRate1.1_1_how_bad_your_study_partner_will_fill_after_reading_our_response,NegRate1.3_1_significance_of_the_event_for_the_study_partner_after_reading_your_response,regulaiton_effect-did_the_writing_changed_your_mood?,similarity_7,mood2_1_angry,mood2_2_happy ,mood2_3_anxious,mood2_4_distressed,mood2_5_cheerful,mood2_6_calm,mood2_7_sad,mood2_8_relaxed,mood2_9_lonely ,mood2_10_energetic,SSES_1_I_feel_confident_about_my_abilities,SSES_2_I_am_worried_about_whether_I_am_regarded_as_a_success_or_failure,SSES_3_I_feel_satisfied_with_the_way_my_body_looks_right_now,SSES_4_I_feel_frustrated_or_rattled_about_my_performance,SSES_5_I_feel_that_I_am_having_trouble_understanding_things_that_I_read,SSES_6_I_feel_that_others_respect_and_admire_me,SSES_7_I_am_dissatisfied_with_my_weight,SSES_8_I_feel_self-conscious.,SSES_9_I_feel_as_smart_as_others.,SSES_10_I feel displeased with myself.,SSES_11_I feel good about myself.,SSES_12_I am_pleased_with_my_appearance_right_now.,SSES_13_I_am_worried_about_what_other_people_think_of_me.,SSES_14_I_feel_confident_that_I_understand_things.,SSES_15_I_feel_inferior_to_others_at_this_moment.,SSES_16_I_feel_unattractive.,SSES_17_I feel_concerned_about_the_impression_I_am_making.,SSES_18_I_feel_that_I_have_less_scholastic_ability_right_now_than_others.,SSES_19_I_feel_like_I'm_not_doing_well.,SSES_20_I_am_worried_about_looking_foolish
1,13/08/2018 07:37,13/08/2018 07:40,128.59.230.234,100,179,1,13/08/2018 07:40,R_2ab41axq5lG7oYd,40.80059814,-73.96530151,anonymous,EN,111,1,1,1,1,1,1,1,1,1,1,1,1,fgjfjgfjgjfjfgjfgkfkgffgkfkfkfkfkfkfkfkfkfkfgjjgjjgjjgjgjgjgfjfgggjgjgfjgfj,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2
1,13/08/2018 13:52,13/08/2018 13:55,98.176.238.152,100,161,1,13/08/2018 13:55,R_2B2TVCF5Sv8aDAn,32.64120483,-116.9859009,anonymous,EN,A39Q4SNT7SRK94,5,5,1,5,1,1,5,5,1,5,1,5,"You can replace the things that you lost in your wallet, and it shouldn't be difficult to do. I think this experience will lead you to be more careful of your things and make sure that you're not forgetful. This isn't a permanent situation, and it isn't that big of a deal.",5,5,1,5,1,5,1,1,5,5,1,5,1,5,5,1,5,1,1,5,1,1,5,1,5,5,1,5,1,1,1,1,1,1
1,13/08/2018 13:52,13/08/2018 14:01,98.245.66.27,100,517,1,13/08/2018 14:01,R_A0XRSdjjGxnj3Q5,39.7427063,-105.1186981,anonymous,EN,A2M6TJIR21BN2W,5,5,1,3,3,3,3,4,1,4,2,3,"I know this is a tough setback, but the situation could be worse. You could have gotten robbed for it and ultimately hurt or killed. Try not to think about how long it will take you to replace it, maybe some good things will happen along the way. The situation cannot get any worse and will only go up from here.",2,4,2,4,1,3,3,1,3,4,1,4,1,4,4,3,3,1,1,2,1,2,3,1,2,3,2,3,1,2,2,2,1,3
1,13/08/2018 13:54,13/08/2018 14:01,75.133.98.246,100,421,1,13/08/2018 14:01,R_30vpeAS5W7TIPp3,41.46749878,-73.24060059,anonymous,EN,AKHH4W14A6AN9,5,5,1,2,4,2,1,2,2,2,4,1,"Oh I'm sorry this happened to you. How did you lose your wallet? At least you didn't have a ton of cash in there. Most things can be taken care of online these days too. Are there any techniques you can use to help you remember things? Retrace your steps and call all the places you visited when you had your wallet, maybe someone turned it in.",2,3,3,3,1,3,2,2,2,2,2,2,3,1,1,2,1,3,1,1,5,5,2,4,2,1,4,4,2,4,4,2,2,2
1,13/08/2018 13:58,13/08/2018 14:02,71.197.157.206,100,237,1,13/08/2018 14:02,R_3g1SRZknA4Thia6,47.17709351,-122.1865005,anonymous,EN,A2VW2G52AKT86G,4,4,2,1,3,3,1,3,3,2,1,1,It sucks now but you were going to have to get new cards and drivers licenses eventually anyway.  Just think of this as having to update them a bit earlier than you expected but now you will get a few more years added to when they would have expired before.  You can use this to help remember for the future too so you won't lose things again.  ,2,2,3,3,1,1,3,1,1,4,1,2,3,1,3,4,1,1,1,1,4,4,4,4,2,1,4,3,3,4,4,1,4,3
1,13/08/2018 14:01,13/08/2018 14:04,131.93.146.238,100,144,1,13/08/2018 14:04,R_1E0ciQIY6HuvrjV,46.4822998,-90.15399933,anonymous,EN,A1ZD8RU6YB0VEU,4,4,1,4,1,1,3,4,1,3,1,2,i am so sorry this happened to you. I know what it feels like the same exact thing happened to me. Keep your head up things will get better and enjoy the rest of you day!,3,3,3,4,1,4,1,1,3,4,1,3,1,2,4,1,4,1,1,4,1,1,4,1,4,4,1,4,1,1,1,1,1,1
1,13/08/2018 13:56,13/08/2018 14:05,108.64.75.194,100,503,1,13/08/2018 14:05,R_1ojrPnrZo8sIaKj,38.11289978,-122.1331024,anonymous,EN,AJRY9ALX8069Y,5,5,4,2,4,4,1,2,4,2,4,1,"I know how it is to lose a wallet. It's happened to me a couple of times in my life. Even though it's a terrible thing and very stressful to get it back or get all your credit cards and license again, I think you can view it as a growing experience. Perhaps it will teach you to be more careful next time and try to always keep tabs on it. I would view it as a positive situation since you can get a new wallet (one that you really like a lot more and that is fashionable with more pockets in it) and get fresh, new cards to carry around. You will learn to be more careful, as well as have a nice new wallet that you can cherish and put all your things in. It will remind you of what happened to your old wallet and remind you to always look after it. Get a really nice wallet and make sure to take good care of it.",3,2,1,4,2,4,2,2,4,4,2,4,3,4,4,5,1,5,1,4,4,5,2,4,2,1,5,2,5,4,5,4,4,5
1,13/08/2018 14:01,13/08/2018 14:07,107.12.142.48,100,333,1,13/08/2018 14:07,R_1GAXPHkRPPtDpcw,34.79840088,-77.35919952,anonymous,EN,A3L1DZWXQFWB90,4,5,1,3,2,1,2,3,2,4,1,2,"Aww. That stinks man! Im so sorry! Im sorry you lost your wallet but look at it this way, now you get to replace your liscense and get a new photo taken for that. You've lost so much weight this year and you look great it was about time for you to get that new photo!",3,3,2,3,1,3,2,1,2,4,1,4,1,3,4,2,5,2,1,1,1,1,4,2,4,4,2,4,2,1,2,2,2,1
1,13/08/2018 14:02,13/08/2018 14:07,50.201.138.178,100,311,1,13/08/2018 14:07,R_1QmXYq1wsU80fOk,34.02470398,-84.50330353,anonymous,EN,A3D70ANCSMGX5F,4,4,2,4,3,1,5,5,2,5,3,4,"I understand how frustrating it can be to misplace belongings . Do not beat yourself over it, because we are all human and make mistakes. Stressing yourself about the situation is natural, but it does not change the conflict. Just move forward I promise things will get better ",3,3,1,3,1,5,3,1,4,5,1,4,2,4,5,2,4,3,2,4,3,5,5,1,4,5,2,5,2,1,3,1,2,1
1,13/08/2018 14:19,13/08/2018 14:25,172.223.211.71,100,357,1,13/08/2018 14:25,R_3sbvL8AMlHebcHR,44.92300415,-123.3435974,anonymous,EN,A1E4K9G6ZKPKX4,3,2,1,1,1,1,1,3,1,2,1,1,"This is the sort of thing that can happen when you're so busy. There probably aren't that many things in your wallet that will be that hard to replace, and most of them will come in the mail. So it's not something you have to spend a lot of time worrying about. It could also help you save money, since you can't really spend anything for a while. It happens to all of us, so don't think poorly of yourself. ",2,2,3,2,1,1,1,1,1,3,1,2,1,1,5,1,2,1,1,3,3,1,5,1,4,3,1,5,1,1,1,1,1,1
